id,sourceId,vulnStatus,published,lastModified,evaluatorComment,evaluatorSolution,evaluatorImpact,cisaExploitAdd,cisaActionDue,cisaRequiredAction,cisaVulnerabilityName,tags,description,references,weaknesses,configurations,vendorComments,v2Source,v2BaseSeverity,v2ExploitabilityScore,v2Impact,v2acInsufInfo,v2ObtainAllPrivilege,v2ObtainUserPrivilege,v2ObtainOtherPrivilege,v2UserInteractionRequired,v2VectorString,v2AccessVector,v2AccessComplexity,v2Authentication,v2ConfidentialityImpact,v2IntegrityImpact,v2AvailabilityImpact,v2BaseScore,v3Source,v3ExploitabilityScore,v3ImpactScore,v3VectorString,v3AttackVector,v3AttackComplexity,v3PrivilegesRequired,v3UserInteraction,v3Scope,v3ConfidentialityImpact,v3IntegrityImpact,v3AvailabilityImpact,v3BaseScore,v3BaseSeverity,v4Source,v4VectorString,v4BaseScore,v4BaseSeverity,v4AttackVector,v4AttackComplexity,v4AttackRequirements,v4PrivilegesRequired,v4UserInteraction,v4VulnConfidentialityImpact,v4VulnIntegrityImpact,v4VulnAvailabilityImpact,v4SubConfidentialityImpact,v4SubIntegrityImpact,v4SubAvailabilityImpact,v4ExploitMaturity,v4ConfidentialityRequirement,v4IntegrityRequirement,v4AvailabilityRequirement,v4ModifiedAttackVector,v4ModifiedAttackComplexity,v4ModifiedAttackRequirements,v4ModifiedPrivilegesRequired,v4ModifiedUserInteraction,v4ModifiedVulnConfidentialityImpact,v4ModifiedVulnIntegrityImpact,v4ModifiedVulnAvailabilityImpact,v4ModifiedSubConfidentialityImpact,v4ModifiedSubIntegrityImpact,v4ModifiedSubAvailabilityImpact,v4Safety,v4Automatable,v4Recovery,v4ValueDensity,v4VulnResponseEffort,v4ProviderUrgency
CVE-1999-1391,MITRE,Deferred,1990-10-03T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,Vulnerability in NeXT 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.,"http://ciac.llnl.gov/ciac/bulletins/b-01.shtml: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)
http://www.cert.org/advisories/CA-1990-06.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.iss.net/security_center/static/7143.php: MITRE, CVE
http://www.securityfocus.com/bid/10: MITRE, CVE",,"Config 1
OR
	cpe:2.3:a:next:next:1.0:*:*:*:*:*:*:*
	cpe:2.3:a:next:next:1.0a:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1392,MITRE,Deferred,1990-10-03T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,Vulnerability in restore0.9 installation script in NeXT 1.0a and 1.0 allows local users to gain root privileges.,"http://ciac.llnl.gov/ciac/bulletins/b-01.shtml: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)
http://www.cert.org/advisories/CA-1990-06.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.iss.net/security_center/static/7144.php: MITRE, CVE
http://www.securityfocus.com/bid/9: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)",,"Config 1
OR
	cpe:2.3:a:next:nex:1.0a:*:*:*:*:*:*:*
	cpe:2.3:a:next:next:1.0:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1057,MITRE,Deferred,1990-10-25T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,VMS 4.0 through 5.3 allows local users to gain privileges via the ANALYZE/PROCESS_DUMP dcl command.,"http://ciac.llnl.gov/ciac/bulletins/b-04.shtml: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)
http://www.cert.org/advisories/CA-1990-07.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.iss.net/security_center/static/7137.php: MITRE, CVE
http://www.securityfocus.com/bid/12: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:digital:vms:*:*:*:*:*:*:*:*",,NVD,MEDIUM,3.9,6.4,False,False,False,False,False,AV:L/AC:L/Au:N/C:P/I:P/A:P,LOCAL,LOW,NONE,PARTIAL,PARTIAL,PARTIAL,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1554,MITRE,Deferred,1990-10-31T05:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,"/usr/sbin/Mail on SGI IRIX 3.3 and 3.3.1 does not properly set the group ID to the group ID of the user who started Mail, which allows local users to read the mail of other users.","http://www.cert.org/advisories/CA-1990-08.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.iss.net/security_center/static/3164.php: MITRE, CVE
http://www.securityfocus.com/bid/13: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)",,"Config 1
OR
	cpe:2.3:o:sgi:irix:3.3:*:*:*:*:*:*:*
	cpe:2.3:o:sgi:irix:3.3.1:*:*:*:*:*:*:*",,NVD,LOW,3.9,2.9,False,False,False,False,False,AV:L/AC:L/Au:N/C:P/I:N/A:N,LOCAL,LOW,NONE,PARTIAL,NONE,NONE,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1197,MITRE,Deferred,1990-12-20T05:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,"TIOCCONS in SunOS 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges.","http://www.cert.org/advisories/CA-1990-12.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.iss.net/security_center/static/7140.php: MITRE, CVE
http://www.securityfocus.com/bid/14: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:sun:sunos:4.1.1:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1115,MITRE,Deferred,1990-12-31T05:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,"Vulnerability in the /etc/suid_exec program in HP Apollo Domain/OS sr10.2 and sr10.3 beta, related to the Korn Shell (ksh).","http://www.cert.org/advisories/CA-1990-04.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.ciac.org/ciac/bulletins/a-30.shtml: MITRE, CVE
http://www.iss.net/security_center/static/6721.php: MITRE, CVE
http://www.securityfocus.com/bid/7: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:hp:apollo_domain_os:*:beta:*:*:*:*:*:*
	cpe:2.3:o:hp:apollo_domain_os:sr10.2:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1258,MITRE,Deferred,1991-01-15T05:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,"rpc.pwdauthd in SunOS 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information.","http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/102: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)
https://exchange.xforce.ibmcloud.com/vulnerabilities/1782: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:sun:sunos:*:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.1:*:*:*:*:*:*:*",,NVD,MEDIUM,10.0,2.9,False,False,False,False,False,AV:N/AC:L/Au:N/C:P/I:N/A:N,NETWORK,LOW,NONE,PARTIAL,NONE,NONE,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1438,MITRE,Deferred,1991-02-22T05:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,Vulnerability in /bin/mail in SunOS 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/105: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)
http://www.cert.org/advisories/CA-91.01a.SunOS.mail.vulnerability: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.securityfocus.com/bid/15: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:sun:sunos:*:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.3:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.1:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1211,MITRE,Deferred,1991-03-27T05:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,Vulnerability in in.telnetd in SunOS 4.1.1 and earlier allows local users to gain root privileges.,"http://www.cert.org/advisories/CA-1991-02.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
https://exchange.xforce.ibmcloud.com/vulnerabilities/574: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:sun:sunos:*:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1212,MITRE,Deferred,1991-03-27T05:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,Vulnerability in in.rlogind in SunOS 4.0.3 and 4.0.3c allows local users to gain root privileges.,"http://www.cert.org/advisories/CA-1991-02.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
https://exchange.xforce.ibmcloud.com/vulnerabilities/574: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:sun:sunos:4.0.3:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.3c:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1194,MITRE,Deferred,1991-05-01T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,"chroot in Digital Ultrix 4.1 and 4.0 is insecurely installed, which allows local users to gain privileges.","http://www.cert.org/advisories/CA-1991-05.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.securityfocus.com/bid/17: MITRE, CVE
https://exchange.xforce.ibmcloud.com/vulnerabilities/577: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:digital:ultrix:4.0:*:*:*:*:*:*:*
	cpe:2.3:o:digital:ultrix:4.1:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1193,MITRE,Deferred,1991-05-14T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,"The ""me"" user in NeXT NeXTstep 2.1 and earlier has wheel group privileges, which could allow the me user to use the su command to become root.","http://www.cert.org/advisories/CA-1991-06.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.securityfocus.com/bid/20: MITRE, CVE
https://exchange.xforce.ibmcloud.com/vulnerabilities/581: MITRE, CVE",,"Config 1
OR
	cpe:2.3:a:next:next:*:*:*:*:*:*:*:*",,NVD,HIGH,10.0,10.0,False,True,False,False,False,AV:N/AC:L/Au:N/C:C/I:C/A:C,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1123,MITRE,Deferred,1991-05-20T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,The installation of Sun Source (sunsrc) tapes allows local users to gain root privileges via setuid root programs (1) makeinstall or (2) winstall.,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/107&type=0&nav=sec.sba: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)
http://www.cert.org/advisories/CA-1991-07.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.securityfocus.com/bid/21: MITRE, CVE
http://www.securityfocus.com/bid/22: MITRE, CVE
https://exchange.xforce.ibmcloud.com/vulnerabilities/582: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:sun:sunos:4.0.3:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.1:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.1.1:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1034,MITRE,Deferred,1991-05-23T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,Vulnerability in login in AT&T System V Release 4 allows local users to gain privileges.,"http://www.cert.org/advisories/CA-1991-08.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.ciac.org/ciac/bulletins/b-28.shtml: MITRE, CVE
http://www.securityfocus.com/bid/23: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)
https://exchange.xforce.ibmcloud.com/vulnerabilities/583: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:att:svr4:4.0:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
